"","x","y","layer_Categories","cum_cost"
"188",300,17500,"Corn",0.000687048312171554
"189",300,17700,"Corn",0.00137018819933699
"190",300,17900,"Corn",0.00110806204011814
"191",300,18100,"Corn",0.000994373553083043
"192",300,18300,"Corn",0.00100758076156807
"193",300,18500,"Corn",0.0015177242279203
"194",300,18700,"Corn",0.00272694592133542
"195",300,18900,"Corn",0.00277900597268369
"196",300,19100,"Corn",0.000736981012139662
"197",300,19300,"Corn",0.000950567642831413
"198",300,19500,"Corn",0.00243770029445358
"199",300,19700,"Corn",0.00271511802981092
"200",300,19900,"Corn",0.0010624152415276
"201",500,100,"Water",0
"202",500,300,"Water",0
"203",500,500,"Water",0
"204",500,700,"Water",0
"205",500,900,"Water",0
"206",500,1100,"Water",0
"207",500,1300,"Water",0
"208",500,1500,"Water",0
"209",500,1700,"Water",0
"210",500,1900,"Water",0
"211",500,2100,"Water",0
"212",500,2300,"Water",0
"213",500,2500,"Water",0
"214",500,2700,"Forest",0
"215",500,2900,"Forest",0
"216",500,3100,"Forest",0
"217",500,3300,"Forest",0
"218",500,3500,"Forest",0
"219",500,3700,"Forest",0
"220",500,3900,"Forest",0
"221",500,4100,"Forest",0
"222",500,4300,"Forest",0
"223",500,4500,"Forest",0
"224",500,4700,"Forest",0
"225",500,4900,"Forest",0
"226",500,5100,"Forest",0
"227",500,5300,"Forest",0
"228",500,5500,"Forest",0
"229",500,5700,"Forest",0
"230",500,5900,"Forest",0
"231",500,6100,"Forest",0
"232",500,6300,"Beef",0.159196132125356
"233",500,6500,"Corn",0.000747485848842193
"234",500,6700,"Corn",0.000772006568934931
"235",500,6900,"Corn",0.000635907362865616
"236",500,7100,"Corn",0.00106544951788552
"237",500,7300,"Corn",0.00385304663786251
"238",500,7500,"Beef",0.392047798439388
"239",500,7700,"Beef",0.179427694062033
"240",500,7900,"Corn",0.00440657292094316
"241",500,8100,"Corn",0.00311490889342464
"242",500,8300,"Corn",0.000640044879888695
"243",500,8500,"Corn",0.00133063327016246
"244",500,8700,"Corn",0.00119760241665514
"245",500,8900,"Corn",0.00189335008126566
"246",500,9100,"Corn",0.0054198166289409
"247",500,9300,"Corn",0.00109075169383334
"248",500,9500,"Corn",0.0010405498301494
"249",500,9700,"Corn",0.00157543674452348
"250",500,9900,"Corn",0.00390225102111775
"251",500,10100,"Corn",0.00261294700656995
"252",500,10300,"Corn",0.000761474165343194
"253",500,10500,"Corn",0.00382773220714681
"254",500,10700,"Corn",0.00434644881316243
"255",500,10900,"Corn",0.00214565063389577
"256",500,11100,"Beef",0.431559038429647
"257",500,11300,"Corn",0.000862191663612468
"258",500,11500,"Corn",0.00149714253039508
